Title,Summary,Source,Source,Topic,Business line
Record US tariff award over Airbus aid could fuel trade tensions,Transatlantic trade ties face renewed disruption this week when global arbiters are expected to grant the United States a record award allowing it to hit European imports with billions of dollars of tariffs in a long-running aircraft subsidy dispute.,Reuters,Reuters,Regulation,Commercial
StandardAero Developing STCs for Thales TopMax Wearable HUD,"Under a long-term partnership agreement, StandardAero will work with Thales.manufacturer's TopMax wearable head-up display (HUD) in business aircraft",Aviation International News,Aviation International News,New technology,Executive
Iranian Tech Firm Signs Aviation Deals Worth $5.2m,"According to ServoHyd Managing Director Mohammad Mehdi Izadpanah, the deals are over the sale, repair, design and production of parts and equipment related to aircraft, including fuel nozzles, pneumatic and hydraulic systems, as well as piston engines, INIF's website reported.",Financial Tribune,Financial Tribune,Deal,Generic
Uber and Blade have a new helicopter competitor in the United,"Following Uber Copter's debut earlier this year (the airport connection service is now available to any Uber rider, not just power users), the space has begun a transition to what many investors see as a new wave of ""urban air mobility"" (UAM).",Business Insider,Business Insider,New service,Commercial
"Airbus’ subsidies could lead to pricier European champagne, olive oil, and cheese in the US","US plane manufacturer Boeing and its European nemesis, Airbus, are in hot water after the World Trade Organization last week found that both received billions of dollars in illegal subsidies over the past 15 years, including cheap government loans and state tax credits.",Quartz,Quartz,Legislation,Commercial
Russian Imports of Aircraft to be Zero Rated For VAT,"Russian imports of civilian aircraft will be zero-rated for value-added tax effective from Jan. 1, 2020",BloombergTax,BloombergTax,Regulation,Generic
"Boeing 737 NG pode sofrer de problemas estruturais na asa, de acordo com a FAA","A FAA, Administração Federal de Aviação dos EUA, solicitou que as companhias dos Estados Unidos que utilizam o 737 NG, a geração anterior, façam uma análise de asas de suas aeronaves, para descobrir possíveis rachaduras.",Aeroflap,Aeroflap,Reliability issues,Commercial
Boeing's $2.8 Billion Awacs Plane Upgrade Slowed by Lab Closings,"A $2.8 billion Boeing Co. upgrade of its Awacs surveillance planes is dogged by delays caused in part by an almost yearlong closing of two classified laboratories developing software for the project, Pentagon agencies disclosed.",Bloomberg,Bloomberg,Investment,Military
Almost $100 million spent on repairing Defence Force aircraft since 2016,"The price the New Zealand Defence Force pays to provide the likes of humanitarian relief, strategic airlift and VIP transport is continuing to balloon.",Newshub,Newshub,Financial,Military
UAE wins ICAO membership for fifth consecutive time,"The UAE will serve its fifth term aboard the international organisation after successfully winning its re-election campaign on Tuesday, garnering 152 votes at the meetings of the ICAO’s 40th session, running in Montreal, Canada from September 24 to October 4.",Gulf News,Gulf News,Regulation,Generic
ACI urges ICAO to develop standards for supersonic aircraft,"At the ICAO assembly, ACI presented its Reintroduction of Supersonics paper and invited the assembly to recognise its views on Standards and Recommended Practices.",Airport Technology,Airport Technology,Regulation,Commercial
PIA Engineering develops facility to repair Cessna aircraft propellers,"Pakistan International Airlines, via its official Twitter account, stated (27-Sep-2019) Pakistan International Airlines Engineering and Maintenance (PIAA)",CAPA,CAPA,New facility,Generic
New chief named for Lockheed Martin International,"Timothy Cahill has been named senior vice president of Lockheed Martin International, and a corporate officer, succeeding Richard Edwards. Edwards will become a strategic advisor to Bethesda-based Lockheed CEO Marillyn Hewson.",Washington Business Journal,Washington Business Journal,Team,Military
Rheinmetall and Raytheon To Submit Bid For OMFV Program | RAF Gets Final Typhoon Tranche 3 | DoS Approves FMS To Japan,Crew Training International won a $42.3 million contract modification external link for the MQ9 Aircrew Training and Courseware Development contract. The MQ-9 Reaper is the primary offensive strike Unmanned Aerial Vehicle for the US Air Force. ,Defense Industry Daily,Defense Industry Daily,UAV,Military
SAFE successfully completes ISO certification,"S.A.F.E. Structure Designs, a global leader in the design, engineering and manufacturing of ergonomic safety-first aircraft maintenance stands, fall protection platforms, phase maintenance platforms, hangar equipment, and specialty tooling, has announced the successful completion of the ISO 9001:2015 certification.",Vertical Magazine,Vertical Magazine,Regulation,Generic
Hypersonic 'space plane' promises four-hour London to Sydney flights by 2030s,"The UK Space Agency announced Tuesday at the UK Space Conference 2019 that it would be working more closely with the Australian Space Agency in an agreement dubbed a ""world-first Space Bridge.""",9news,9news,New aircraft,Commercial
Japan's New Black Widow Stealth Fighter Could Look Like This,"Japan has been seeking foreign partners to help develop an F-3 air-superiority oriented stealth fighter for its Air Self-Defense Force. The concept that has attracted by far the most public interest is Lockheed Martin’s proposal for a hybrid of the F-22 Raptor, the world’s top air warfare platform, and the newer F-35 Lightning II.",The National Interest Online,The National Interest Online,New aircraft,Military
AirAsia India to expand fleet; awaits nod to fly abroad,"Even as it awaits overseas flying rights, budget airline AirAsia India plans to add another 17 aircraft to its fleet in the current fiscal.",LiveMInt,LiveMInt,Aircraft sales,Commercial
US Steps Up Scrutiny of Airplane Cybersecurity,Concerns that planes could be targeted in cyberattacks are prompting U.S. officials to re-energize efforts to identify airliners’ vulnerability to hacking.,GlobeNewswire,GlobeNewswire,Cybersecurity,Generic
"East Meets West: VIP Aircraft Cabin Concept ""Nature's Touch"" Receives Prestigious Red Dot Award","At the Red Dot Design Awarding Ceremony 2019 in Singapore, Ameco's and Lufthansa Technik's jointly developed narrow-body VIP aircraft cabin 'Nature's Touch' has been honored with a prestigious Red Dot award in the category ""Design Concept"".",AviationPros.com,AviationPros.com,Product,Executive
The heat is on with aircraft ESAs. Carlisle has a cool answer,"Heat and power. These two words are on the tips of the tongues of all stakeholders seeking to bring new electronically steerable antennas (ESAs) to civil aviation in a bid to support low-latency broadband transmissions for passengers and pilots. Inherently, ESAs generate a lot of heat because they draw a lot of power. How will these connectivity work horses cool down?",Runway Girl Network,Runway Girl Network,New technology,Generic
Pakistan Rolls Out First Locally Overhauled JF-17 Fighters,"The two aircraft are a part of a batch of four JF-17 Block 1 aircraft that had undergone the major overhaul process, two of which were overhauled by Aviation Industry.was the construction of a maintenance, repair and overhaul (MRO) facility",Quwa,Quwa,New aircraft,Military
RAAF receives latest P-8A Poseidon maritime patrol aircraft,"The Royal Australian Air Force (RAAF) has received another P-8A Poseidon maritime surveillance aircraft during a ceremony in Seattle, US.",Airforce Technology,Airforce Technology,Aircraft sales,Military
Electric airliner concepts 'pie in the sky' says Emirates president,An Airbus electric-powered aircraft project - E-Fan X - mooted in Paris will take at least 15 years to reach fruition.,Logistics Middle East,Logistics Middle East,New technology,Generic
Spain's Volotea to assist in hybrid-electric aircraft design,"Volotea (V7, Asturias) will assist in the development of a new hybrid-electric aircraft for regional transport between small destinations, the Spanish low-cost carrier said in a statement earlier this month.",ch-aviation,ch-aviation,New aircraft,Commercial
German startup to develop 10-seat electric regional aircraft,A startup formed by two German aviation companies has revealed plans to develop a 10-seat electric aircraft for short-haul regional flying.,ATWOnline,ATWOnline,Startup,Commercial
